season,week,team,season_type,opponent_team,completions,attempts,passing_yards,passing_tds,passing_interceptions,sacks_suffered,sack_yards_lost,sack_fumbles,sack_fumbles_lost,passing_air_yards,passing_yards_after_catch,passing_first_downs,passing_epa,passing_cpoe,passing_2pt_conversions,carries,rushing_yards,rushing_tds,rushing_fumbles,rushing_fumbles_lost,rushing_first_downs,rushing_epa,rushing_2pt_conversions,receptions,targets,receiving_yards,receiving_tds,receiving_fumbles,receiving_fumbles_lost,receiving_air_yards,receiving_yards_after_catch,receiving_first_downs,receiving_epa,receiving_2pt_conversions,special_teams_tds,def_tackles_solo,def_tackles_with_assist,def_tackle_assists,def_tackles_for_loss,def_tackles_for_loss_yards,def_fumbles_forced,def_sacks,def_sack_yards,def_qb_hits,def_interceptions,def_interception_yards,def_pass_defended,def_tds,def_fumbles,def_safeties,misc_yards,fumble_recovery_own,fumble_recovery_yards_own,fumble_recovery_opp,fumble_recovery_yards_opp,fumble_recovery_tds,penalties,penalty_yards,timeouts,punt_returns,punt_return_yards,kickoff_returns,kickoff_return_yards,fg_made,fg_att,fg_missed,fg_blocked,fg_long,fg_pct,fg_made_0_19,fg_made_20_29,fg_made_30_39,fg_made_40_49,fg_made_50_59,fg_made_60_,fg_missed_0_19,fg_missed_20_29,fg_missed_30_39,fg_missed_40_49,fg_missed_50_59,fg_missed_60_,fg_made_list,fg_missed_list,fg_blocked_list,fg_made_distance,fg_missed_distance,fg_blocked_distance,pat_made,pat_att,pat_missed,pat_blocked,pat_pct,gwfg_made,gwfg_att,gwfg_missed,gwfg_blocked,gwfg_distance
2003,1,MIN,REG,GB,15,30,195,3,0,2,-12,0,0,0,195,12,14.5862631157,,0,36,154,0,2,2,7,-1.99415204313118,0,15,0,195,3,0,0,0,0,12,24.7614666033501,0,0,42,9,13,0,0,1,1,6,0,4,98,5,0,0,0,0,0,0,1,1,0,7,65,1,1,0,3,47,3,3,0,0,46,1,0,1,1,1,0,0,0,0,0,0,0,0,22;46;34,,,102,0,0,3,3,0,0,1,0,0,0,0,0
2003,1,NE,REG,BUF,17,35,154,0,4,2,-20,0,0,0,154,8,-24.1981118049007,,0,21,105,0,0,0,4,-5.50442414710415,0,17,0,154,0,0,0,0,0,8,9.39829856727738,0,0,28,21,31,0,0,0,2,15,0,1,2,6,0,0,0,0,0,0,1,1,0,12,121,5,4,39,6,128,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,0,0,0,0,0,0,,0,0,0,0,0
2003,1,NO,REG,SEA,29,47,274,1,1,3,-18,1,1,0,274,14,-3.51168628261075,,0,25,103,0,2,2,6,-6.73820810235338,0,29,0,274,1,0,0,0,0,14,20.106483589625,0,0,37,18,18,0,0,1,3,18,0,0,0,2,0,0,0,0,0,1,0,0,0,11,114,4,4,31,5,112,1,1,0,0,33,1,0,0,1,0,0,0,0,0,0,0,0,0,33,,,33,0,0,1,1,0,0,1,0,0,0,0,0
2003,1,NYG,REG,LA,14,26,202,0,0,2,-15,1,1,0,202,7,-2.84950132763122,,0,27,149,1,1,1,8,-3.29933553423839,0,14,0,202,0,1,1,0,0,7,6.96591734648183,0,0,53,13,13,0,0,5,6,38,0,1,34,8,0,1,0,0,2,2,3,3,1,7,59,3,2,4,3,47,3,3,0,0,47,1,0,1,0,2,0,0,0,0,0,0,0,0,24;47;44,,,115,0,0,2,2,0,0,1,0,0,0,0,0
2003,1,NYJ,REG,WAS,15,24,105,0,0,1,-4,0,0,0,105,6,-5.1885988907015,,0,22,57,1,0,0,4,1.35523097770056,0,15,0,105,0,0,0,0,0,6,3.12878416424364,0,0,51,2,10,0,0,1,4,18,0,1,12,3,0,0,0,0,0,0,1,1,0,1,5,5,1,26,4,90,2,2,0,0,41,1,0,0,1,1,0,0,0,0,0,0,0,0,30;41,,,71,0,0,1,1,0,0,1,0,0,0,0,0
2003,1,PHI,REG,TB,19,37,148,0,1,3,-24,1,0,0,148,7,-19.2129681581864,,0,16,121,0,0,0,4,2.43566612288123,0,19,0,148,0,1,1,0,0,7,2.10454137448687,0,0,51,0,22,0,0,0,0,0,0,1,28,5,0,0,0,0,1,1,0,0,0,3,25,6,4,15,4,95,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,0,0,0,0,0,0,,0,0,0,0,0
2003,1,PIT,REG,BAL,21,29,260,3,0,3,-19,0,0,0,260,13,13.3971924133278,,0,33,98,1,1,1,5,-7.38257401334704,0,21,0,260,3,0,0,0,0,13,24.1416436591244,0,0,36,14,24,0,0,2,2,9,0,1,42,10,0,0,0,0,1,1,1,1,0,9,138,2,1,9,2,29,2,2,0,0,31,1,0,1,1,0,0,0,0,0,0,0,0,0,29;31,,,60,0,0,4,4,0,0,1,0,0,0,0,0
2003,1,SEA,REG,NO,12,23,137,2,0,3,-18,0,0,0,137,6,-2.43724938187803,,0,33,151,1,1,0,11,1.70731240120949,0,12,0,137,2,0,0,0,0,6,12.3849845673249,0,0,49,15,15,0,0,2,3,18,0,1,18,11,0,1,0,0,2,3,3,3,0,3,20,2,3,25,3,65,2,2,0,0,37,1,0,1,1,0,0,0,0,0,0,0,0,0,37;25,,,62,0,0,3,3,0,0,1,0,0,0,0,0
2003,1,SF,REG,CHI,19,35,229,2,1,0,0,0,0,0,229,11,4.9650163466373,,0,42,162,2,1,0,11,-3.22562831506366,0,19,0,229,2,0,0,0,0,11,19.7420801195719,0,0,41,6,10,0,0,2,5,23,0,3,87,9,1,2,0,1,2,2,2,2,0,4,25,3,5,29,2,37,5,5,0,0,29,1,0,5,0,0,0,0,0,0,0,0,0,0,22;29;28;24;26,,,129,0,0,4,5,1,0,0.8,0,0,0,0,0
2003,1,TB,REG,PHI,27,36,238,2,1,0,0,0,0,0,238,15,11.4261181234629,,0,31,90,0,0,0,4,-5.45958962949226,0,27,0,238,2,0,0,0,0,15,21.5486198846497,0,0,34,0,20,0,0,2,3,24,0,1,0,13,0,0,0,0,0,0,1,1,0,7,64,6,4,30,1,18,1,1,0,0,23,1,0,1,0,0,0,0,0,0,0,0,0,0,23,,,23,0,0,2,2,0,0,1,0,0,0,0,0
